Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
1141750;780;45607;2854500;265500;74745;36273;1062;941;957
525500;755;35203;1622000;256500;78530;22413;1557;642;933
397500;752;29129;2285500;242500;39428;21277;1149;870;944
1027000;612;58125;951500;258000;35194;25164;1944;514;958
945000;681;48169;97500;228500;170440;28334;1492;670;956
607000;740;34670;2184000;249500;33232;28000;1167;857;955
154000;622;20839;2226000;226000;120256;9180;2324;430;901
3468000;717;87070;1299000;297500;39174;56635;1564;639;938
1021250;697;49490;2135500;234500;161748;34784;1373;728;957
408250;663;35672;2629000;226500;121239;15818;2217;451;938
280500;658;27102;2233500;232000;150124;16616;1489;671;889
5380250;739;100908;1093000;306000;36132;77980;1317;759;957
308000;743;25928;1470000;246000;39523;18673;1358;737;941
273250;708;24839;1656000;252000;49899;17396;1423;703;930
872500;648;51906;2214500;230500;103367;30500;1670;599;959
1170500;782;46487;2486500;257000;18825;35491;1169;855;961
1180000;729;47289;464000;239000;146646;33860;1304;767;944
2490750;821;73147;1713500;231500;118142;48800;1495;669;968
626250;710;38059;1511500;244000;170166;25829;1183;846;943
413750;794;28657;1634500;232000;132879;20736;1314;761;947
1355500;806;46803;1673500;233500;130668;40977;1116;896;965
1894000;645;63531;1756000;286500;35066;48973;1377;726;874
1090000;747;48541;2575000;278500;65019;32746;1425;702;961
3614500;818;79057;1832500;298500;55305;63255;1142;876;968
3714000;772;84629;751500;299000;35380;63090;1388;720;977
2754250;784;74636;395500;262000;176543;50767;1524;656;974
1271750;705;53050;2818000;236000;101416;33491;1469;681;960
313750;673;30037;2115000;247000;2862;18321;1479;676;928
2042250;802;65073;1946000;278500;25974;43855;1442;693;973
1569750;710;61190;659500;249500;161417;35911;1738;575;934
674000;710;43177;2531500;242000;151654;21925;1935;517;954
608000;560;47151;622000;243000;145804;17329;2597;385;940
1940250;820;56661;2613000;292000;74124;46270;1136;880;958
4565250;827;85920;242500;316500;45707;74223;1105;905;977
49000;702;11424;616500;238500;113199;6500;1563;640;905
2114000;814;61717;1573000;287000;49600;49000;1027;974;962
642750;766;36401;2312000;260000;15945;26447;1284;779;949
880250;694;46352;1269500;241000;113523;28196;1344;744;953
1045250;719;45880;2022000;241500;106460;34888;1312;762;956
302000;740;26443;2654500;247000;164650;17534;1555;643;936
376250;779;31121;528500;264500;46302;17324;1657;604;955
228750;739;22594;221000;256000;24864;16391;1365;733;928
1057250;725;50629;1492500;242500;124946;26516;1816;551;956
182250;705;20000;1387000;246500;143130;12335;1446;692;920
52000;568;14142;2279500;245500;171870;6240;2118;472;840
3749750;759;86904;2067500;282500;8270;64992;1282;780;940
2185000;728;66635;2227500;281500;26757;50030;1206;829;937
241000;674;25962;2286000;257500;15642;13312;1937;516;941
150750;637;20248;2876500;263000;57095;10633;1858;538;903
106500;646;16378;1817000;262500;77661;10402;1353;739;898
288750;669;28504;2135500;256500;164745;15216;1872;534;926
1530750;733;54113;2434500;246500;93708;43561;1208;828;965
749500;822;37636;718500;269500;19398;28641;1249;800;960
252250;662;28200;871500;247000;127073;13652;2061;485;925
4259250;835;85747;1432500;275000;156275;71969;1152;868;973
1232000;684;54233;821500;250000;161732;31668;1639;610;944
397000;755;31484;1623000;279000;69550;18830;1677;596;956
1488750;779;56573;2333000;289500;44284;37227;1387;721;965
604250;751;36017;2682500;264000;13650;21350;1538;650;946
2163750;792;63151;599000;283000;10954;50429;1179;848;972
1986500;825;58945;1538000;303000;55366;47395;1232;812;962
2381000;776;70059;2182500;251000;114004;48839;1393;718;971
